,0
site,0
raceeth,438
q6orig,708
q7orig,1103
record,0
orig_rec,13677
q1,72
q2,151
q3,112
q4,291
q5,1245
q6,1537
q7,1537
q8,2528
q9,860
q10,1199
q11,1567
q12,3133
q13,776
q14,2818
q15,76
q16,132
q17,2906
q18,558
q19,2438
q20,3439
q21,3324
q22,408
q23,230
q24,192
q25,256
q26,240
q27,255
q28,3157
q29,4928
q30,3708
q31,1375
q32,1360
q33,2783
q34,472
q35,910
q36,1493
q37,886
q38,872
q39,3687
q40,491
q41,1066
q42,1657
q43,4782
q44,3656
q45,2018
q46,431
q47,372
q48,1279
q49,694
q50,1505
q51,3022
q52,966
q53,987
q54,1221
q55,4628
q56,2723
q57,396
q58,2637
q59,1715
q60,1718
q61,1718
q62,2032
q63,1823
q64,1957
q65,2951
q66,702
q67,1726
q68,3205
q69,1085
q70,791
q71,1779
q72,1778
q73,1800
q74,1830
q75,2282
q76,4188
q77,2084
q78,457
q79,881
q80,500
q81,2389
q82,3890
q83,2128
q84,951
q85,3471
q86,1209
q87,777
q88,572
q89,666
q90,5000
q91,4113
q92,4083
q93,3517
q94,5288
q95,5203
q96,5287
q97,4865
q98,5237
q99,5289
BMIPCT,1537
weight,0
stratum,0
psu,0
